Input,BioGro #,Licensee,Type,Category,Sub Type
Smartvin Carb,5593.0,Pacific Rim Oenology Services Ltd,Stabilisation,,
Smiths Grafting Wax,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Smiths Grafting Wax (SKU# 1002691),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Smoked Salt Flakes,4385.0,Rogers Distribution TA Mrs Rogers Herbs & Spices,Processing Aid / Non Agriculture,,
Sodium Bentonite,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Bentonite,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Bentonite,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Bicarbonate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Sodium Bicarbonate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Sodium Bicarbonate,5936.0,Zenith Ltd,Livestock Feed / Supplement,,
Sodium Bicarbonate,5936.0,Zenith Ltd,Livestock Feed / Supplement,Supplement,Mineral
Sodium Carbonate,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Sodium Chloride,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,,
Sodium Chloride,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,,
Sodium Chloride,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Salt,
Sodium Humate,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,Humate,
Sodium Humate,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,Humate,
Sodium hypochlorite,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Sodium Hypochlorite,2933.0,PGG Wrightson (Fruitfed Supplies),Facility Management,Cleaning,
Sodium Hypochlorite (SKU# 1044081),4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,Other
Sodium Iodide,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Sodium Iodide,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Sodium Molybdate,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium molybdate,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Molybdate,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium molybdate,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Molybdate,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Molybdate,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Molybdate,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Molybdate,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,,
Sodium molybdate,4038.0,BioAg Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sodium Selenate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Sodium Selenate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Sodium Selenate,5113.0,Soil Health Ltd,Livestock Feed / Supplement,Supplement,
Soil Enhancer,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Other,
Soil NRG,6352.0,Multikraft NZ Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
SoilPro Basalt Rock Dust,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
SoilPro BioC,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
SoilPro Biochar,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
SoilPro BioL/C,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
SoilPro BioN,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
SoilPro Chicken Manure,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
SoilPro Sand,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
SoilPro Soil Conditioner,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
SoilPro Sugar Lime,6080.0,Soil Conditioner Products Ltd,Soil & Plant Nutrition,,
Sol 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Solidago C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Soluble Boron,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Soluble Boron (ETiDOT-67),4038.0,BioAg Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
SOLUM F30,6300.0,Sustainable Agro Solutions SA,Soil & Plant Nutrition,Mineral Fertiliser,
SOLUM H2O ECO,6300.0,Sustainable Agro Solutions SA,Soil & Plant Nutrition,Mineral Fertiliser,
South Pacific Salt - Marlborough Fine Salt,6071.0,South Pacific Salt New Zealand Ltd,Processing Aid / Non Agriculture,,
South Pacific Salt - Marlborough Sea Salt Fine Flakes,6071.0,South Pacific Salt New Zealand Ltd,Processing Aid / Non Agriculture,,
South Pacific Salt - New Zealand Fleur de Sel,6071.0,South Pacific Salt New Zealand Ltd,Processing Aid / Non Agriculture,,
South Pacific Salt - New Zealand Natural Coarse Salt,6071.0,South Pacific Salt New Zealand Ltd,Processing Aid / Non Agriculture,,
South Pacific Salt - New Zealand Powder Salt,6071.0,South Pacific Salt New Zealand Ltd,Processing Aid / Non Agriculture,,
"Southern Humates - Coarse (SKU# 1052773, 1052774, 1052776)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Humate,
"Southern Humates - Fine (SKU# 1051427, 1051429)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Humate,
"Southern Humates - Premium (SKU# 1051424,1051425, 1051428)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Southern Humates (Fine, Premium, Coarse Grade)",5638.0,Southern Humates,Soil & Plant Nutrition,Humate,
Spinach Winter Giant (Code - 3585),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Spongia 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Spray Iodine,4948.0,Farmers Industries Ltd,Livestock Treatment,Remedies,
SprayHuMate,5638.0,Southern Humates,Soil & Plant Nutrition,Humate,
Spraying of BioGro certified and conversion properties.,6116.0,Downes Services Ltd,Other - Service,,
"Spraying, mowing, mulching and fertiliser spreading of BioGro certified and conversion orchards",6235.0,Tanner Spraying Ltd,Other - Service,,
"Spraying, mowing, mulching, fertiliser spreading, compost spreading, orchard maintenance of BioGro certified and conversion properties",777.0,KMS 2015 Ltd,Other,,
"Spraying, mowing, mulching, fertilizer spreading, compost spreading, orchard maintenance of BioGro certified & conversion properties",4617.0,Oropi Management Services Ltd,Other,,
"Spraying, mulching, mowing and orchard maintenance of BioGro certified and conversion properties.",6066.0,Edwards Heeney Consulting,Other,,
Spreadout 1000 Non-ionic Adjuvant,6308.0,Victorian Chemical Company,Crop Management,Adjuvant,
Spring Onion Tokyo Long White (Code - 3432),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Spring Onion White Lisbon (Code - 3440),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Squash Butter Baby F1 (Code - 3600),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Squash Tuffy (Code - 3620),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Squash Waltham Butternut (Code - 3625),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Squash Winter Sweet (Code - 3627),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
"SSC 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Stab Micro M,5682.0,Enartis Pacific Pty Ltd,Stabilisation,,
Stabivin SP,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Stablefly 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Stannum met 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Staph 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Staph aur 30c, 200c, 1M",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Staph aur/neg coagula 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Staph Complex 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Staphisagria C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Staphysagria 30,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Starter Biology,5936.0,Zenith Ltd,Soil & Plant Nutrition,,
Starter Biology,5936.0,Zenith Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Stavin Barrel Replicas,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Stavin Beans,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Stavin Segments,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Stavin Stave Fans,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Stim Concentrate Liquid,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Stimplex,5348.0,Acadian Seaplants,Crop Management,Biostimulant,
"Stimplex (SKU# 1011466, 1011530)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Stimula Chardonnay,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Stimula Pinot Noir,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Stimula Sauvignon Blanc,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Stimula Syrah,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Stir Fry Combo (Code - 4065),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Stock Iodine,4948.0,Farmers Industries Ltd,Livestock Feed / Supplement,,
"Stock Lodine 2.5% (SKU# 1023522, 1001318, 1000852, 1000849)",4472.0,Farmlands Co-Operative Society Ltd,Livestock Treatment,Remedies,Iodine
Stock Minerals,5936.0,Zenith Ltd,Soil & Plant Nutrition,,
Stock Minerals,5936.0,Zenith Ltd,Soil & Plant Nutrition,,
StockHuMate,5638.0,Southern Humates,Livestock Feed / Supplement,Supplement,Other
StocLik,5936.0,Zenith Ltd,Livestock Feed / Supplement,,
StocLik,5936.0,Zenith Ltd,Livestock Feed / Supplement,Supplement,Salt Lick
"Storage, supply and application of BioGro certified input products",4617.0,Oropi Management Services Ltd,Other,,
"Storage, Supply and application of BioGro Certified input products",6066.0,Edwards Heeney Consulting,Other,,
"Storage, supply and application of BioGro certified input products",777.0,KMS 2015 Ltd,Other,,
"Storage, supply and application of BioGro certified input products",6235.0,Tanner Spraying Ltd,Other - Service,,
"Storage, Supply and application of BioGro Certified input products",6116.0,Downes Services Ltd,Other - Service,,
Stramonium 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Strep 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Strep agalactiae 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Strep bovis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Strep dys 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Strep uberis 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Strep/Staph 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Subliprotect,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Sublired,5629.0,Esvin Wine Resources Ltd,Acid Regulation,,
Sublitan Vinif,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Subllwhite,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Sugar,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Adjuvant,
Sugar,5563.0,Natural Sugars (New Zealand) Ltd,Chaptalisation / Enrichment,,
Sugar,5563.0,Natural Sugars (New Zealand) Ltd,Livestock Feed / Supplement,Supplement,
Sugar,4432.0,Horticentre Ltd,Crop Management,Adjuvant,
Sugar (SKU# 1001923),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Adjuvant,
Sulclean DF,4432.0,Horticentre Ltd,Crop Management,Fungicide,
Sulclean DF,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Sulclean DF,4828.0,Orion Agriscience Ltd,Crop Management,Fungicide,
Sulfisol 6%,5592.0,Fine Wine Supplies,Preservative / Antioxidant,,
Sulgran 80% WG,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Sulphate of Potash,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of Potash,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of Potash,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of potash,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of Potash,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of Potash,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of potash,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of potash,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of potash,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of Potash,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of potash,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of Potash (natural),5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of potash (natural),5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphate of potash (SOP natural),2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Sulphur,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,,
"Sulphur 6x, 9c, 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Sulphur 90,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphur Bentonite,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphur Bentonite,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphur Bentonite,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphur Bentonite 90,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphur Bentonite 90,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphur Bentonite 90,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphurgain Pure,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphurgain Pure,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Sulphurgrain Pure,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Sulphuric Acid,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Supa Link,5774.0,Liquid Fertiliser Pty,Crop Management,Adjuvant,
Super Wound Spray,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Superb BAP,4038.0,BioAg Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Superb RPR,4038.0,BioAg Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Superflux Dualzyme,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Superflux Endurozyme,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Superflux Prozyme,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Superstart,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Superstart Blanc,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Superstart Lead Feed Concentrate,5743.0,Probiotic Revolution Ltd,Livestock Feed / Supplement,,
Superstart Rouge,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Superzyme,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Superzyme,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Superzyme,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Microorganisms,Biostimulant
Superzyme (SKU# 1011378),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
Surface Sanitiser,6156.0,Clean Planet Franchise Ltd,Facility Management,Cleaning,
Surlì Velvet,5682.0,Enartis Pacific Pty Ltd,Yeast Nutrient,Yeast derivate,
Surround WP,4432.0,Horticentre Ltd,Crop Management,Insecticide,
Surround WP,4429.0,UPL New Zealand Ltd,Crop Management,Insecticide,
Surround WP,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Surround WP (SKU# 1008360),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Sweet & Spicy Mix (Code - 4067),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Symphytum 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Synertrol Horti Botanical Oil Concentrate,6047.0,Organic Crop Protectants,Crop Management,Adjuvant,
Talley's Fish Soluble,5897.0,Talley's Group Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Tan'Cor Grand Cru,5587.0,Laffort New Zealand Ltd,Stabilisation,,
TanFresh,5587.0,Laffort New Zealand Ltd,Stabilisation,,
Tanigal,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Tanin Bouquet R36,5605.0,Winequip Products Ltd,Clarification / Fining,,
Tanin VR Color,5587.0,Laffort New Zealand Ltd,Stabilisation,,
Tanin VR Supra,5587.0,Laffort New Zealand Ltd,Stabilisation,,
Tanin VR Supra Elegance,5587.0,Laffort New Zealand Ltd,Stabilisation,,
Tanipepin,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Taniraisin,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Tanixel,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Tannin FT Color Max,5605.0,Winequip Products Ltd,Clarification / Fining,,
Tannin FT Rouge,5605.0,Winequip Products Ltd,Clarification / Fining,,
Tarentula cubensis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Tartaric Acid,4472.0,Farmlands Co-Operative Society Ltd,Acid Regulation,,
Tartaric Acid,2933.0,PGG Wrightson (Fruitfed Supplies),Acid Regulation,Acid Addition,L-Tartaric acid
Tartaric Acid,5606.0,Interchem Agencies Ltd,Acid Regulation,,
Tasty Tonic (Code - 4068),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
T-Dip,4432.0,Horticentre Ltd,Crop Management,Insecticide,
T-Dip (SKU# 1011513),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
"Tea tree oil 6c, 30c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Tebessa Phosphate Rock,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Tebessa Phosphate Rock,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Tebessa Phosphate Rock,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Tebessa Phosphate Rock,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Tebessa Rock Phosphate,6045.0,Avoca Lime Co,Soil & Plant Nutrition,Mineral Fertiliser,RPR based
Tenet,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Tenet (Onionmate),3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
Terramin Pro,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Tetanus 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Theileria 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
ThermoMax,2753.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
"ThermoMax (SKU# 1008650, 1008651, 1012915)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Homeopathic Preparation,
Thiosinamine 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Thiovit Jet,4432.0,Horticentre Ltd,Crop Management,Fungicide,
Thiovit Jet,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Thiovit Jet (SKU# 1021222),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Fungicide,
Thiovit Jet- Sulphur based input,5962.0,Syngenta Crop Protection,Crop Management,Fungicide,
Thuja 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Thuja C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Thuja C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Thymovar,4300.0,Key Industries Ltd,Apiary Management,,
Ti Premium,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Tick nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Timorex Gold,5706.0,Stockton Israel Ltd,Crop Management,Pesticide,
Timorex Gold,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Timorex Gold,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Timorex Gold - Pest control,5962.0,Syngenta Crop Protection,Crop Management,Pesticide,
Timorex Gold (SKU# 1032993),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
TITO,5099.0,Golden Bay Dolomite,Facility Management,Cleaning,Other
TM Agricultural,5225.0,Best Farming Systems Pty Ltd,Soil & Plant Nutrition,Microorganisms,
Tomato Artisan Blush (Code - 3642),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Beefsteak Select (Code - 3645),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Costoluto Fiorention (Code - 3662),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Gardeners Delight (Code - 3670),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Indigo Apple (Code - 3675)),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Indigo Blueberries (Code - 3677),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Roma (Code - 3690),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Rosella (Code - 3692),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Sean's Yellow (Code - 3694),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tomato Sunrise Bumble Bee (Code - 3696),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Toneleria Nacional Oak Chips,5586.0,Kauri NZ Ltd,Flavouring Agent,Oak products,
Toneleria Nacional Oak Ministaves,5586.0,Kauri NZ Ltd,Flavouring Agent,Oak products,
Toneleria Nacional Oak Powder,5586.0,Kauri NZ Ltd,Flavouring Agent,Oak products,
Toneleria Nacional Oak Rice,5586.0,Kauri NZ Ltd,Flavouring Agent,Oak products,
Toneleria Nacional Oak Viniblocks,5586.0,Kauri NZ Ltd,Flavouring Agent,Oak products,
Toneleria Nacional Oak Zig-Zags,5586.0,Kauri NZ Ltd,Flavouring Agent,Oak products,
Tonic Tincture,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Too Hot,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Tora,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Total Blend,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Other,
Toxomplasmosis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Transport and application of BioGro certified products – compost spreading, fertiliser spreading",5676.0,All Set Ltd,Other,,
Tranzolv,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Travel Combo,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Trenolin PEXX,2933.0,PGG Wrightson (Fruitfed Supplies),Enzyme,Extraction Aids,Pectolytic enzymes
Trichobuild,3515.0,Agrimm Technologies Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Trichodry,3515.0,Agrimm Technologies Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
"Trichodry (SKU# 1035779, 1028805)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
Trichoflow,3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
Trichopel,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,Biostimulant
Trichopel,3515.0,Agrimm Technologies Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
"Trichopel (SKU# 1006608, 1007837)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
TrichoStart,3515.0,Agrimm Technologies Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
TRI-D25,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
TRI-D25,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
TRI-D25,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Microorganisms,Biostimulant
TRI-D25 (SKU# 1011380),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
Tri-Kelp,5583.0,Biologix,Soil & Plant Nutrition,Seaweed Fertiliser,
Trimate - Liquid Humate,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Humate,
"Trimate (SKU# 1012759, 1012760)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Humate,
TripleX,4432.0,Horticentre Ltd,Crop Management,Fungicide,Biological
TripleX,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,Biological
TripleX,4436.0,Biostart Ltd,Crop Management,Fungicide,Biological
"TripleX (SKU# 1011338, 1019439)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Fungicide,Biological
Tru Tan F1 Oak,2933.0,PGG Wrightson (Fruitfed Supplies),Stabilisation,Tannin / Colour Stabilization,Tannins / tannic acid
"True Blue ""Formula One"" Cleaner and Deodoriser",720.0,True Blue Organics,Facility Management,,
